months,princeston_precip
1975-01,85.80266
1975-02,20.879507
1975-03,119.76291
1975-04,47.637302
1975-05,10.494262
1975-06,0.0
1975-07,0.0
1975-08,0.0
1975-09,0.0
1975-10,0.0
1975-11,10.875
1975-12,83.34425
1976-01,208.5131
1976-02,139.52684
1976-03,136.508
1976-04,39.393444
1976-05,1.2895491
1976-06,0.0
1976-07,0.0
1976-08,0.0
1976-09,16.383198
1976-10,25.78463
1976-11,10.641395
1976-12,8.385247
1977-01,40.300003
1977-02,74.45246
1977-03,77.874794
1977-04,42.866806
1977-05,25.435246
1977-06,0.0
1977-07,0.0
1977-08,0.0
1977-09,5.0840163
1977-10,14.610657
1977-11,33.571716
1977-12,30.3584
1978-01,85.2627
1978-02,116.624596
1978-03,27.04242
1978-04,43.69058
1978-05,2.159836
1978-06,0.0
1978-07,0.0
1978-08,0.0
1978-09,0.7254098
1978-10,24.545898
1978-11,22.825817
1978-12,47.834015
1979-01,66.313324
1979-02,22.629507
1979-03,3.6336064
1979-04,6.553279
1979-05,13.454509
1979-06,0.0
1979-07,0.0
1979-08,0.0
1979-09,1.6352459
1979-10,31.705126
1979-11,39.264343
1979-12,19.762499
1980-01,0.0
1980-02,155.01332
1980-03,137.25758
1980-04,4.426229
1980-05,0.038114753
1980-06,0.0
1980-07,0.0
1980-08,0.0
1980-09,15.141394
1980-10,0.0
1980-11,66.0246
1980-12,22.563934
1981-01,0.0
1981-02,63.648365
1981-03,20.982172
1981-04,0.0
1981-05,0.40655738
1981-06,0.0
1981-07,0.0
1981-08,0.0
1981-09,0.5040983
1981-10,30.625206
1981-11,30.39344
1981-12,61.244053
1982-01,31.527252
1982-02,13.695902
1982-03,31.425617
1982-04,57.63934
1982-05,6.333402
1982-06,0.0
1982-07,0.0
1982-08,0.0
1982-09,2.557377
1982-10,41.907173
1982-11,40.51844
1982-12,34.423977
1983-01,67.08832
1983-02,21.883606
1983-03,58.11865
1983-04,24.528688
1983-05,23.110245
1983-06,0.0
1983-07,0.0
1983-08,0.0
1983-09,0.11065574
1983-10,0.0
1983-11,52.942627
1983-12,64.60451
1984-01,0.0
1984-02,6.721106
1984-03,37.39057
1984-04,18.073769
1984-05,17.157991
1984-06,0.0
1984-07,0.0
1984-08,0.0
1984-09,2.6864755
1984-10,0.0
1984-11,42.940575
1984-12,5.3106556
1985-01,0.0
1985-02,29.623768
1985-03,34.671722
1985-04,0.18442622
1985-05,0.05717213
1985-06,0.0
1985-07,0.0
1985-08,0.0
1985-09,0.12909834
1985-10,20.385038
1985-11,10.364754
1985-12,59.00799
1986-01,89.27746
1986-02,30.088524
1986-03,35.916805
1986-04,42.00615
1986-05,0.0
1986-06,0.0
1986-07,0.0
1986-08,0.0
1986-09,25.038935
1986-10,70.524994
1986-11,52.76434
1986-12,14.794877
1987-01,20.137295
1987-02,54.11803
1987-03,45.24856
1987-04,37.5123
1987-05,0.0
1987-06,0.0
1987-07,0.0
1987-08,0.0
1987-09,2.8954916
1987-10,5.4504104
1987-11,37.659836
1987-12,109.29406
1988-01,8.11209
1988-02,158.1748
1988-03,59.395485
1988-04,37.33401
1988-05,9.147541
1988-06,0.0
1988-07,0.0
1988-08,0.0
1988-09,1.6659837
1988-10,7.7309427
1988-11,48.1291
1988-12,64.98566
1989-01,50.34324
1989-02,120.29097
1989-03,23.078484
1989-04,37.266396
1989-05,3.6018443
1989-06,0.0
1989-07,0.0
1989-08,0.0
1989-09,0.6762295
1989-10,1.0545082
1989-11,19.696722
1989-12,11.732992
1990-01,59.617832
1990-02,28.447542
1990-03,72.7293
1990-04,57.627052
1990-05,0.21598361
1990-06,0.0
1990-07,0.0
1990-08,0.0
1990-09,0.0
1990-10,8.563115
1990-11,2.9938526
1990-12,10.697541
1991-01,163.44243
1991-02,56.75738
1991-03,28.255737
1991-04,0.0
1991-05,0.0
1991-06,0.0
1991-07,0.0
1991-08,0.0
1991-09,0.6639345
1991-10,10.195697
1991-11,14.465164
1991-12,61.82213
1992-01,6.2635245
1992-02,23.318853
1992-03,19.565575
1992-04,23.569672
1992-05,0.0
1992-06,0.0
1992-07,0.0
1992-08,0.0
1992-09,0.0
1992-10,11.885451
1992-11,6.657787
1992-12,2.890369
1993-01,8.220081
1993-02,11.240164
1993-03,19.50205
1993-04,16.112705
1993-05,5.729918
1993-06,0.0
1993-07,0.0
1993-08,0.0
1993-09,0.0
1993-10,45.019882
1993-11,34.17418
1993-12,28.096924
1994-01,78.1289
1994-02,48.25984
1994-03,37.104713
1994-04,2.0655737
1994-05,0.0
1994-06,0.0
1994-07,0.0
1994-08,0.0
1994-09,0.33196723
1994-10,0.14610656
1994-11,11.883198
1994-12,6.085656
1995-01,45.064346
1995-02,2.237705
1995-03,20.518444
1995-04,1.6967214
1995-05,24.501434
1995-06,0.0
1995-07,0.0
1995-08,0.0
1995-09,0.7745902
1995-10,62.55902
1995-11,56.05328
1995-12,89.52521
1996-01,145.94139
1996-02,58.84385
1996-03,11.065983
1996-04,32.95082
1996-05,34.13176
1996-06,0.0
1996-07,0.0
1996-08,0.0
1996-09,4.469262
1996-10,2.5473359
1996-11,41.65574
1996-12,64.852264
1997-01,70.207375
1997-02,44.088524
1997-03,53.932373
1997-04,5.508197
1997-05,0.9719262
1997-06,0.0
1997-07,0.0
1997-08,0.0
1997-09,19.96721
1997-10,55.64754
1997-11,14.188524
1997-12,21.49672
1998-01,63.85492
1998-02,33.163933
1998-03,46.47459
1998-04,2.022541
1998-05,0.0
1998-06,0.0
1998-07,0.0
1998-08,0.0
1998-09,7.80123
1998-10,27.556967
1998-11,39.313522
1998-12,52.299797
1999-01,62.616188
1999-02,32.859837
1999-03,54.415165
1999-04,5.803279
1999-05,19.254303
1999-06,0.0
1999-07,0.0
1999-08,0.0
1999-09,0.0
1999-10,8.537704
1999-11,15.3012295
1999-12,57.127663
2000-01,90.37643
2000-02,116.49919
2000-03,51.39139
2000-04,42.424175
2000-05,8.810861
2000-06,0.0
2000-07,0.0
2000-08,0.0
2000-09,0.91598356
2000-10,8.632992
2000-11,30.965166
2000-12,30.6125
2001-01,58.67131
2001-02,56.929512
2001-03,54.61844
2001-04,52.284836
2001-05,12.997132
2001-06,0.0
2001-07,0.0
2001-08,0.0
2001-09,4.616803
2001-10,23.478691
2001-11,36.77459
2001-12,49.987503
2002-01,65.69713
2002-02,54.835247
2002-03,50.152664
2002-04,25.014343
2002-05,19.203484
2002-06,0.0
2002-07,0.0
2002-08,0.0
2002-09,2.6741803
2002-10,16.103485
2002-11,25.377048
2002-12,44.181355
2003-01,76.693245
2003-02,58.622128
2003-03,49.638115
2003-04,27.860657
2003-05,5.4377046
2003-06,0.0
2003-07,0.0
2003-08,0.0
2003-09,2.6741805
2003-10,20.886885
2003-11,32.01025
2003-12,30.472748
2004-01,70.33443
2004-02,65.7254
2004-03,51.493034
2004-04,34.5123
2004-05,5.8252044
2004-06,0.0
2004-07,0.0
2004-08,0.0
2004-09,2.3114755
2004-10,35.80246
2004-11,30.891396
2004-12,43.596924
2005-01,73.30738
2005-02,31.322134
2005-03,57.76291
2005-04,37.54303
2005-05,6.5049176
2005-06,0.0
2005-07,0.0
2005-08,0.0
2005-09,0.0
2005-10,12.037911
2005-11,17.065575
2005-12,11.085041
2006-01,135.8918
2006-02,118.42623
2006-03,50.432175
2006-04,40.77664
2006-05,5.0247955
2006-06,0.0
2006-07,0.0
2006-08,0.0
2006-09,0.0
2006-10,18.301435
2006-11,25.961065
2006-12,31.921106
2007-01,53.45594
2007-02,44.323772
2007-03,44.56885
2007-04,13.37705
2007-05,0.0
2007-06,0.0
2007-07,0.0
2007-08,0.0
2007-09,6.1536884
2007-10,25.365368
2007-11,14.489754
2007-12,37.117416
2008-01,42.83463
2008-02,46.792217
2008-03,54.61844
2008-04,10.0020485
2008-05,4.497541
2008-06,0.0
2008-07,0.0
2008-08,0.0
2008-09,0.14139344
2008-10,3.7543035
2008-11,32.059425
2008-12,29.094261
2009-01,46.430126
2009-02,86.404106
2009-03,21.471312
2009-04,7.727458
2009-05,8.525001
2009-06,0.0
2009-07,0.0
2009-08,0.0
2009-09,4.5122952
2009-10,43.44447
2009-11,14.944672
2009-12,23.936066
2010-01,171.47192
2010-02,64.417206
2010-03,39.321724
2010-04,41.47131
2010-05,20.543852
2010-06,0.0
2010-07,0.0
2010-08,0.0
2010-09,2.1024592
2010-10,0.0
2010-11,30.19672
2010-12,37.238117
2011-01,81.82602
2011-02,71.77295
2011-03,93.21599
2011-04,45.27049
2011-05,12.311066
2011-06,0.0
2011-07,0.0
2011-08,0.0
2011-09,2.3422132
2011-10,17.812294
2011-11,43.493855
2011-12,35.510246
2012-01,61.523563
2012-02,103.27684
2012-03,44.44816
2012-04,6.8545084
2012-05,0.0
2012-06,0.0
2012-07,0.0
2012-08,0.0
2012-09,1.1618853
2012-10,8.956967
2012-11,10.936475
2012-12,57.50881
2013-01,17.069057
2013-02,36.113117
2013-03,42.91086
2013-04,13.635246
2013-05,2.9856558
2013-06,0.0
2013-07,0.0
2013-08,0.0
2013-09,11.803279
2013-10,0.0
2013-11,13.303279
2013-12,99.269875
2014-01,70.63299
2014-02,135.46722
2014-03,25.759222
2014-04,37.407784
2014-05,5.520287
2014-06,0.0
2014-07,0.0
2014-08,0.0
2014-09,0.122950815
2014-10,0.0
2014-11,15.374999
2014-12,30.193235
2015-01,23.237295
2015-02,27.305738
2015-03,50.27336
2015-04,39.018448
2015-05,3.138115
2015-06,0.0
2015-07,0.0
2015-08,0.0
2015-09,6.0676227
2015-10,0.0
2015-11,14.803279
2015-12,47.097134
2016-01,95.76714
2016-02,49.781387
2016-03,47.97613
2016-04,39.022686
2016-05,10.107604
2016-06,0.0
2016-07,0.0
2016-08,0.0
2016-09,0.005968814
2016-10,0.0
2016-11,14.277466
2016-12,42.97359
